,fsq_id,categories,geocodes,location,name
0,4d6e854c2e6ea09398fe1e50,"[{'id': 12072, 'name': 'Police Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_policestation_', 'suffix': '.png'}}]","{'main': {'latitude': 51.508535, 'longitude': -0.274953}, 'roof': {'latitude': 51.508535, 'longitude': -0.274953}}","{'address': '250 High St', 'admin_region': 'England', 'country': 'GB', 'formatted_address': '250 High St, Acton, Greater London, W3 9BH', 'locality': 'Acton', 'neighborhood': ['Acton'], 'post_town': 'London', 'postcode': 'W3 9BH', 'region': 'Greater London'}",Acton Police Station
1,4c99b383eaa5a143b7eec5e4,"[{'id': 12072, 'name': 'Police Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_policestation_', 'suffix': '.png'}}]","{'main': {'latitude': 51.51762, 'longitude': -0.08011}, 'roof': {'latitude': 51.51762, 'longitude': -0.08011}}","{'address': '182 Bishopsgate', 'admin_region': 'England', 'country': 'GB', 'cross_street': '', 'formatted_address': '182 Bishopsgate, London, EC2M 4NP', 'locality': 'London', 'neighborhood': ['Spitalfields'], 'post_town': 'London', 'postcode': 'EC2M 4NP'}",Bishopsgate Police Station
2,838a9a92b3244f53520eb6b7,"[{'id': 12072, 'name': 'Police Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_policestation_', 'suffix': '.png'}}]","{'main': {'latitude': 51.517735, 'longitude': -0.079948}, 'roof': {'latitude': 51.517735, 'longitude': -0.079948}}","{'address': 'Bishopsgate Police Station, 182 Bishopsgate', 'admin_region': 'England', 'country': 'GB', 'formatted_address': 'Bishopsgate Police Station, 182 Bishopsgate, London, EC2M 4NP', 'locality': 'London', 'neighborhood': ['Whitechapel'], 'post_town': 'London', 'postcode': 'EC2M 4NP'}",British Transport Police
3,4ae9d672f964a520eeb621e3,"[{'id': 19046, 'name': 'Metro Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/subway_', 'suffix': '.png'}}]","{'main': {'latitude': 51.510996, 'longitude': -0.113627}, 'roof': {'latitude': 51.510996, 'longitude': -0.113627}}","{'address': 'Victoria Embankment', 'admin_region': 'England', 'country': 'GB', 'formatted_address': 'Victoria Embankment, Temple, Greater London, WC2R 2PH', 'locality': 'Temple', 'post_town': 'London', 'postcode': 'WC2R 2PH', 'region': 'Greater London'}",Temple London Underground Station
4,6118a7a7533844f4df964ca3,"[{'id': 12072, 'name': 'Police Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_policestation_', 'suffix': '.png'}}]","{'main': {'latitude': 51.513601, 'longitude': -0.114607}, 'roof': {'latitude': 51.513601, 'longitude': -0.114607}}","{'address': ""Civil Justice Council's Secret"", 'admin_region': 'England', 'country': 'GB', 'formatted_address': ""Civil Justice Council's Secret, London, WC2A 2LL"", 'locality': 'London', 'post_town': 'London', 'postcode': 'WC2A 2LL'}",The Civil Justice Council
5,d045b823812e486e28bc8834,"[{'id': 12072, 'name': 'Police Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_policestation_', 'suffix': '.png'}}]","{'main': {'latitude': 51.511783, 'longitude': -0.114156}, 'roof': {'latitude': 51.511783, 'longitude': -0.114156}}","{'address': '2 Arundel St', 'admin_region': 'England', 'country': 'GB', 'formatted_address': '2 Arundel St, London, WC2R 3AZ', 'locality': 'London', 'post_town': 'London', 'postcode': 'WC2R 3AZ'}",Calder UK
6,4c37413a2c8020a135a38800,"[{'id': 12072, 'name': 'Police Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_policestation_', 'suffix': '.png'}}]","{'main': {'latitude': 51.53394, 'longitude': -0.111027}, 'roof': {'latitude': 51.53394, 'longitude': -0.111027}}","{'address': '2 Tolpuddle St', 'admin_region': 'England', 'country': 'GB', 'cross_street': '', 'formatted_address': '2 Tolpuddle St, Islington, Greater London, N1 0YY', 'locality': 'Islington', 'neighborhood': ['Islington'], 'post_town': 'London', 'postcode': 'N1 0YY', 'region': 'Greater London'}",Islington Police Station
7,4cc5c23d01fb236add87b3ba,"[{'id': 12072, 'name': 'Police Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_policestation_', 'suffix': '.png'}}]","{'main': {'latitude': 51.517066, 'longitude': -0.102792}, 'roof': {'latitude': 51.517066, 'longitude': -0.102792}}","{'address': '5 Snow Hill', 'admin_region': 'England', 'country': 'GB', 'formatted_address': '5 Snow Hill, London, Greater London, EC1A 2DP', 'locality': 'London', 'neighborhood': ['Smithfield'], 'post_town': 'London', 'postcode': 'EC1A 2DP', 'region': 'Greater London'}",Snow Hill Police Station
8,4db0450e6e81a2637ed5c793,"[{'id': 12072, 'name': 'Police Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_policestation_', 'suffix': '.png'}}]","{'main': {'latitude': 51.517114, 'longitude': -0.093514}, 'roof': {'latitude': 51.517114, 'longitude': -0.093514}}","{'address': '37 Wood St', 'admin_region': 'England', 'country': 'GB', 'cross_street': '', 'formatted_address': '37 Wood St, London, Greater London, EC2P 2NQ', 'locality': 'London', 'postcode': 'EC2P 2NQ', 'region': 'Greater London'}",Wood Street Police Station
9,4acf6ff6f964a520a6d320e3,"[{'id': 19046, 'name': 'Metro Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/subway_', 'suffix': '.png'}}]","{'main': {'latitude': 51.512475, 'longitude': -0.187828}, 'roof': {'latitude': 51.512475, 'longitude': -0.187828}}","{'address': 'Queensway', 'admin_region': 'England', 'country': 'GB', 'formatted_address': 'Queensway, London, Greater London, W2 4QH', 'locality': 'London', 'post_town': 'London', 'postcode': 'W2 4QH', 'region': 'Greater London'}",Bayswater Underground Station
10,0541a0913fc14eceeddf724b,"[{'id': 19046, 'name': 'Metro Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/subway_', 'suffix': '.png'}}]","{'main': {'latitude': 51.510438, 'longitude': -0.187415}, 'roof': {'latitude': 51.510438, 'longitude': -0.187415}}","{'address': 'Bayswater Rd', 'admin_region': 'England', 'country': 'GB', 'formatted_address': 'Bayswater Rd, London, W2 4SS', 'locality': 'London', 'neighborhood': ['Bayswater'], 'post_town': 'London', 'postcode': 'W2 4SS'}",Queensway Station
11,4ad10c3bf964a52039dc20e3,"[{'id': 19046, 'name': 'Metro Station', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/subway_', 'suffix': '.png'}}]","{'main': {'latitude': 51.495165, 'longitude': -0.254585}}","{'address': 'Turnham Green Terrace', 'admin_region': 'England', 'country': 'GB', 'cross_street': 'Bath Rd', 'formatted_address': 'Turnham Green Terrace (Bath Rd), London, Greater London, W4 1LR', 'locality': 'London', 'post_town': 'London', 'postcode': 'W4 1LR', 'region': 'Greater London'}",Turnham Green London Underground Station
