,name,postcode,borough,latitude,longitude,price,rating,popularity,number_of_crimes,number_of_metro,number_of_police,distance_metro,distance_police
0,The Black Horse,EN5 4BW,London Borough of Barnet,51.653075,-0.206657,1.0,8.1,0.9395506925852636,30,0,2.0,904.7221783952057,390.28142268413694
1,Ye Olde Mitre Inne,EN5 5SJ,London Borough of Barnet,51.652979,-0.199367,1.0,7.6,0.9827680130368992,45,1,3.0,443.9459654988773,119.56110587743017
2,The Arkley,EN5 3EP,London Borough of Barnet,51.652533,-0.219573,1.0,7.7,0.9873751600512164,2,0,0.0,1767.1738669776782,1215.8159628743226
3,Railway Tavern,EN4 8RR,London Borough of Barnet,51.650059,-0.174692,1.0,7.4,0.9508951228029332,64,0,0.0,1343.2480489568218,1149.6212554108404
4,The Kings Head,EN5 5SN,London Borough of Barnet,51.653499,-0.200979,1.0,6.6,0.3777767431032476,40,0,3.0,568.2927593999508,98.11283449358235
5,The Monken Holt,EN5 5SU,London Borough of Barnet,51.658291,-0.201368,1.0,6.8,0.246145966709347,22,0,2.0,985.0319775469469,313.70780481876744
6,The Green Dragon,EN5 4RE,Hertfordshire County Council,51.674789,-0.216312,1.0,7.2,0.9721663862841196,0,0,0.0,3089.097301598794,2334.170121499875
7,The Red Lion,EN5 5UW,London Borough of Barnet,51.652453,-0.199044,1.0,6.1,0.967386800139681,44,1,3.0,393.26905657023894,71.39873342725784
8,The Orange Tree,N20 8NX,London Borough of Barnet,51.629934,-0.197419,1.0,6.5,0.9514980793854032,1,0,0.0,1259.998884265972,2485.475467501432
9,Queens Arms,EN5 1AB,London Borough of Barnet,51.64669,-0.188042,1.0,5.6,0.8880013968106157,45,0,0.0,609.0855924052835,929.066928842225
10,The Railway Bell,EN4 8RR,London Borough of Barnet,51.650462,-0.172977,1.0,5.6,0.9352252357117914,67,0,0.0,1460.0965996654863,1097.002704283349
11,Prince of Wales,EN4 8TB,London Borough of Barnet,51.642101,-0.163195,1.0,5.7,0.9672191828657898,41,0,2.0,1449.2248798999624,134.9859173763664
12,Kings Head,DA5 1AA,London Borough of Bexley,51.441903,0.149824,1.0,6.7,0.9516005121638924,22,0,0.0,11061.737109314008,1673.630808145107
13,The Traveller's Home,DA7 5AR,London Borough of Bexley,51.462432,0.152058,1.0,7.1,0.946253055523222,28,0,0.0,8829.474268540353,646.4352846761523
14,The Prince Albert,DA6 7LE,London Borough of Bexley,51.455431,0.152618,1.0,6.8,0.8890862530555232,86,0,1.0,9608.915627933324,303.40361852267375
15,The George,DA5 1AJ,London Borough of Bexley,51.441873,0.150353,1.0,6.2,0.9505971365382376,22,0,0.0,11070.509366352222,1678.6505249495503
16,Yacht,DA7 5AE,London Borough of Bexley,51.466222,0.144872,1.0,6.8,0.9660365498777792,15,0,0.0,8336.781810470233,1070.0038117141128
17,William Camden,DA7 4EQ,London Borough of Bexley,51.462077,0.131824,1.0,6.6,0.9428588057269236,44,0,0.0,8705.6089637565,1318.1798442419101
18,The Furze Wren,DA6 7DY,London Borough of Bexley,51.456671,0.146431,1.0,6.1,0.9956908392503784,123,0,1.0,9402.896077084299,178.87774566367867
19,The Kings Arms,DA6 7DW,London Borough of Bexley,51.456949,0.142945,1.0,6.1,0.9587754626935164,151,0,1.0,9339.32019054274,417.7944266638556
20,The Crayford Arms,DA1 4HH,London Borough of Bexley,51.452565,0.177089,1.0,6.2,0.9038924455825864,66,0,0.0,10154.039918082797,2007.959158628736
21,The Three Blackbirds,DA5 1BX,London Borough of Bexley,51.448248,0.122272,1.0,6.1,0.8989593760912583,24,0,0.0,10069.263585443374,2087.7957549177686
22,Golden Lion,DA6 8BE,London Borough of Bexley,51.458035,0.13575,1.0,5.8,0.9629891747177278,105,0,0.0,9170.210125200747,924.2768486505722
23,The Wrong Un,DA6 8AS,London Borough of Bexley,51.457841,0.137459,1.0,5.6,0.9383750436503318,114,0,0.0,9200.990856905071,804.0853222564829
24,Bear & Ragged Staff,DA1 4BS,London Borough of Bexley,51.451845,0.177927,1.0,5.5,0.9192736584798044,72,0,0.0,10244.813509667541,2084.6936742437474
25,The White Horse,HA9 0HP,London Borough of Brent,51.558346,-0.280355,1.0,6.8,0.9762146432312886,165,0,0.0,580.7327206373186,572.6615399419749
26,The Fusilier,HA0 2HA,London Borough of Brent,51.561739,-0.3319285,1.0,7.2,0.9605191479455244,30,0,0.0,595.956600848535,2138.8484203871367
27,The Torch,HA9 9AB,London Borough of Brent,51.56493,-0.277282,1.0,5.7,0.9589873123035736,111,1,1.0,230.05473531075276,208.3798559307727
28,J J Moon's,HA9 6AA,London Borough of Brent,51.553489,-0.292652,1.0,6.1,0.9868094517518332,163,1,0.0,331.41289814793123,919.328048323116
29,The Parish,HA9 8HP,London Borough of Brent,51.561744,-0.282882,1.0,5.6,0.985580258409964,159,1,1.0,294.7272059855122,321.93437758452046
30,J J Moons,NW9 9EL,London Borough of Brent,51.584604,-0.280033,1.0,5.7,0.9920568036317076,64,1,1.0,95.2925328369254,208.55241704436074
31,Black Horse,BR6 8NW,London Borough of Bromley,51.368235,0.056846,1.0,7.5,0.9547410080316612,36,0,0.0,13668.240421500373,2826.7490818464526
32,One Inn the Wood,BR5 1LA,London Borough of Bromley,51.390105,0.073816,1.0,8.3,0.9743708532184844,33,0,0.0,12242.494451263956,2363.821927948767
33,The British Queen,BR6 8NL,London Borough of Bromley,51.366437,0.0542,1.0,7.3,0.9464020486555698,43,0,0.0,13763.706988450707,2873.3620059582745
34,The Greyhound,BR2 6BP,London Borough of Bromley,51.363645,0.028593,1.0,7.4,0.956840879990688,0,0,0.0,13364.667696995504,4412.32250609468
35,The Woodman,BR6 7BA,London Borough of Bromley,51.359255,0.067621,1.0,6.6,0.9380677453148644,8,0,0.0,14900.304644758846,1682.1990719537587
36,The Royal Oak,BR6 6BJ,London Borough of Bromley,51.351319,0.089519,1.0,7.0,0.904898149225934,9,0,1.0,16421.666548777026,245.8691580339505
37,Ye Olde Whyte Lyon,BR6 8NE,London Borough of Bromley,51.364223,0.056685,1.0,6.4,0.9090862530555232,36,0,0.0,14060.927977705953,2603.929158419752
38,The Chequers,BR2 8AP,London Borough of Bromley,51.39028,0.045439,1.0,6.5,0.9756116866488184,22,0,0.0,11135.478054157677,4109.081645980033
39,The Fox Inn,BR2 6BQ,London Borough of Bromley,51.361966,0.02739,1.0,6.4,0.938291235013386,0,0,0.0,13509.864814532866,4450.039901811917
40,The Queens Head,BR6 6BQ,London Borough of Bromley,51.352253,0.089814,1.0,6.2,0.9880409731113956,9,0,1.0,16343.800356352625,140.24310121896016
41,Sovereign of the Seas,BR5 1DG,London Borough of Bromley,51.389374,0.072001,1.0,6.1,0.9537306483529276,33,0,0.0,12231.134884779212,2417.823532205514
42,The Buff,BR6 9NL,London Borough of Bromley,51.360007,0.087786,1.0,5.7,0.9353043883133512,10,0,0.0,15539.261192218719,739.3734308107563
43,Daylight Inn,BR5 1LZ,London Borough of Bromley,51.389403,0.075031,1.0,5.7,0.9517471772785472,36,0,0.0,12355.771722097565,2249.3990912061095
44,The Harvest Moon,BR6 0LQ,London Borough of Bromley,51.377816,0.101193,1.0,5.0,0.9570690257245956,69,0,3.0,14499.138569769339,86.02365360409341
45,Tapping the Admiral,NW1 8SU,London Borough of Camden,51.545249,-0.146113,2.0,8.9,0.987289023396578,209,0,0.0,287.1062891300266,551.3502446716402
46,The Hawley Arms,NW1 8QU,London Borough of Camden,51.542083,-0.145564,2.0,8.8,0.9828029333022932,339,1,3.0,351.28984583721393,426.77051384243595
47,The Southampton Arms,NW5 1LE,London Borough of Camden,51.55606,-0.146228,2.0,9.1,0.985969037364684,83,0,0.0,418.5274377754439,541.8271990985422
48,The Washington,NW3 4UE,London Borough of Camden,51.545666,-0.162814,1.0,7.7,0.9828285414969152,71,0,0.0,537.1676411464146,804.5624351760418
49,The Pineapple,NW5 2NX,London Borough of Camden,51.553066,-0.139617,2.0,8.5,0.976058666045862,150,2,3.0,298.7808032756864,393.65097032686276
50,Edinboro Castle,NW1 7RU,London Borough of Camden,51.536059,-0.144828,2.0,8.1,0.974920265394017,235,2,1.0,378.3979914712401,357.1637888661436
51,The Lion and Unicorn,NW5 2ED,London Borough of Camden,51.548005,-0.139121,1.0,8.2,0.9646979397043416,126,1,2.0,293.2440719870276,246.03537389599813
52,The Rose & Crown,NW5 2SG,London Borough of Camden,51.550286,-0.13306,1.0,8.6,0.9731207077173788,123,0,0.0,526.5416653911577,612.6120648400339
53,The Colonel Fawcett,NW1 0SS,London Borough of Camden,51.541765,-0.136043,2.0,8.2,0.9837550925387032,106,0,4.0,261.0839067549132,274.54101539383123
54,The Elgin,W9 1NJ,City of Westminster,51.53033,-0.18551,2.0,8.4,0.9870911418926784,91,1,0.0,55.10109477114572,1539.241351058647
55,The Old Eagle,NW1 9LU,London Borough of Camden,51.54285,-0.139508,1.0,8.1,0.97363752764521,277,1,3.0,105.499349751605,224.10709627667902
56,The Lord Stanley,NW1 9BH,London Borough of Camden,51.547148,-0.129562,1.0,8.5,0.972580607612618,106,0,0.0,812.1407581642604,811.8949534094077
57,Lord Wargrave,W1H 5HE,City of Westminster,51.518117,-0.165765,1.0,8.8,0.9868536840879992,259,2,2.0,246.023625450678,207.22697444396502
58,The Warrington,W9 1EH,City of Westminster,51.526695,-0.183411,1.0,8.3,0.9797136538237692,85,2,0.0,378.6611755733424,1110.3401185776206
59,The Elephants Head,NW1 8QR,London Borough of Camden,51.540698,-0.143932,2.0,7.8,0.9857036433476896,355,1,4.0,164.3641222056679,286.40438194722844
60,The Windsor Castle,NW1 4SH,City of Westminster,51.526381,-0.162255,1.0,8.1,0.9709440111744848,80,1,1.0,416.92067651617657,471.06189897073426
61,The World's End,NW1 0NE,London Borough of Camden,51.539159,-0.142119,1.0,7.9,0.9960074496566174,344,1,5.0,73.68392652536158,127.26275150229685
62,The Garden Gate,NW3 2QE,London Borough of Camden,51.554679,-0.165585,1.0,7.8,0.9738749854498894,61,1,0.0,98.91378537648004,1461.184724321128
63,The Flask,NW3 1HE,London Borough of Camden,51.556631,-0.177141,1.0,8.0,0.9646257711558608,32,1,0.0,96.76161196013584,1345.9315661463324
64,The Royal Oak,W1H 1QN,City of Westminster,51.520094,-0.162501,1.0,8.3,0.9478780118728902,208,2,2.0,287.37464683535785,284.15091143748305
65,The Abbey Tavern,NW1 9QB,London Borough of Camden,51.545839,-0.141539,1.0,7.7,0.9761960190897452,151,0,2.0,438.67622543801684,401.874262621424
66,The Ordnance,NW8 6PS,City of Westminster,51.535794,-0.171563,1.0,7.4,0.9490792690024444,56,1,0.0,222.6621615772204,746.1448339505698
67,The Freemasons Arms,NW3 1NT,London Borough of Camden,51.556904,-0.168907,2.0,7.7,0.9535420789197998,37,0,0.0,238.6647353448897,1637.3305287767553
68,The Lord Palmerston,NW5 1HU,London Borough of Camden,51.559512,-0.140553,1.0,7.9,0.9618368059597252,102,1,1.0,361.6021638432745,362.9009477439661
69,The George,NW3 2AE,London Borough of Camden,51.552332,-0.167195,1.0,7.4,0.9646467233150972,71,1,0.0,281.152867472325,1177.6611746288856
70,The Clifton,NW8 0JT,City of Westminster,51.535985,-0.184918,1.0,7.6,0.9685508089861484,109,0,0.0,635.9477698306479,1080.6461618300036
71,North London Tavern Kilburn,NW6 7QB,London Borough of Brent,51.545549,-0.202573,2.0,7.9,0.9916354324292864,125,1,0.0,61.906501638719185,1008.2392979126463
72,The Pembroke,NW1 8JA,London Borough of Camden,51.542409,-0.154896,1.0,7.1,0.9618903503666628,126,1,0.0,181.1628676554717,1061.233657309305
73,Duke of Hamilton,NW3 1JD,London Borough of Camden,51.55889,-0.177418,1.0,7.6,0.9874426725643116,25,1,0.0,281.6231315785143,1411.2968137573623
74,Prince Albert,NW1 0SG,London Borough of Camden,51.539934,-0.137066,1.0,7.4,0.964583866837388,233,1,5.0,291.17054933581755,195.5252146854572
75,Assembly House,NW5 2TG,London Borough of Camden,51.551025,-0.140492,2.0,7.3,0.9621743685252008,125,1,2.0,64.01940165622042,197.74675199730117
76,Lore of the Land,W1T 6BB,London Borough of Camden,51.522025,-0.139527,1.0,7.6,0.9645978349435456,177,3,2.0,292.3806249232218,409.0822943292039
77,Allsop Arms,NW1 5AL,City of Westminster,51.522369,-0.160111,1.0,7.5,0.9806937492724944,118,2,1.0,202.20842510896915,23.23545723395358
78,The Parcel Yard,N1C 4AH,London Borough of Camden,51.532327,-0.123734,3.0,7.5,0.997623093935514,195,1,0.0,196.17064792255746,722.6459700467399
79,Devonshire Arms,NW1 8NL,London Borough of Camden,51.540935,-0.142322,2.0,7.1,0.9830403911069724,336,1,5.0,190.81810304601777,176.56165644275686
80,The Exmouth Arms,NW1 2HR,London Borough of Camden,51.527829,-0.136822,1.0,7.4,0.9714841112792456,210,3,0.0,234.39213250333967,525.7608733331834
81,The Constitution,NW1 0QT,London Borough of Camden,51.540281,-0.135388,1.0,7.2,0.9253451286229776,173,0,5.0,356.003894960757,280.4110419701398
82,Warwick Castle,W9 2PX,City of Westminster,51.522021,-0.183867,1.0,7.3,0.9625887556745432,103,2,0.0,142.0500681911114,686.613121652492
83,The Camden Eye,NW1 9NX,London Borough of Camden,51.53948,-0.142198,1.0,6.9,0.9884763124199744,355,1,5.0,69.47800822384474,160.1518578794781
84,Princess of Wales,NW1 8LL,London Borough of Camden,51.540347,-0.153859,1.0,6.7,0.9532208124781748,90,1,0.0,395.07830512368383,917.7230725089828
85,Oxford Arms,NW1 7BU,London Borough of Camden,51.54057,-0.144377,1.0,6.8,0.9842858805726924,349,1,4.0,164.3978005067379,317.64239949006287
86,Fountains Abbey,W2 1RL,City of Westminster,51.516902,-0.172958,1.0,7.2,0.9829984867884995,239,3,3.0,261.4524571725071,292.7605281734673
87,Sir Colin Campbell,NW6 2BY,London Borough of Camden,51.543477,-0.199431,1.0,6.9,0.9678826679082762,206,0,0.0,300.8122123202623,1155.1547036712072
88,The Enterprise,NW3 2BL,London Borough of Camden,51.544126,-0.152844,1.0,6.3,0.9865231055756024,166,1,0.0,73.31830415890397,955.0452712094343
89,The Star of Kings,N1 0AX,London Borough of Islington,51.536521,-0.121916,1.0,6.9,0.9898940751949716,108,0,0.0,644.2874162846863,805.9874218617031
90,Carlton Tavern,NW6 5EU,City of Westminster,51.532056,-0.191426,1.0,6.7,0.9593062507275056,142,2,0.0,367.33572586654145,1707.526675651487
91,The Ice Wharf,NW1 7BY,London Borough of Camden,51.540346,-0.145704,1.0,6.4,0.9922686532417646,345,1,4.0,210.91239741184603,399.3723541000011
92,The Good Mixer,NW1 7HJ,London Borough of Camden,51.539487,-0.144393,1.0,6.4,0.9773157956000466,314,1,5.0,87.77369983026887,270.95433453113225
93,The Metropolitan Bar,NW1 5LD,City of Westminster,51.522676,-0.156862,2.0,6.6,0.9976161098824352,113,2,1.0,12.649932405850453,250.23618340996654
